#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
1163,7990020,,,,
1165,7831840,,,,
1167,7728170,,,,
1169,7810680,,,,
1171,7794660,,,,
1173,7428620,,,,
1175,7446240,,,,
1177,7240590,,,,
1179,7222010,,,,
1181,7123450,,,,
1183,7154110,,,,
1185,6974190,,,,
1187,6896380,,,,
1189,6801690,,,,
1191,6777750,,,,
1193,6682910,,,,
1195,6584630,,,,
1197,6597130,,,,
1199,6411900,,,,
1201,6350320,,,,
1203,6192590,,,,
1205,6284730,,,,
1207,6241670,,,,
1209,6147710,,,,
1211,6061530,,,,
1213,5865080,,,,
1215,5817310,,,,
1217,5742690,,,,
1219,5828400,,,,
1221,5689340,,,,
1223,5626930,,,,
1225,5612780,,,,
1227,5497080,,,,
1229,5387870,,,,
1231,5362400,,,,
1233,5301280,,,,
1235,5209930,,,,
1237,5225680,,,,
1239,5166730,,,,
1241,4983200,,,,
1243,4929190,,,,
1245,5110760,,,,
1247,4872590,,,,
1249,4836650,,,,
1251,4684550,,,,
1253,4784730,,,,
1255,4669900,,,,
1257,4447110,,,,
1259,4571730,,,,
1261,4568940,,,,
1263,4377470,,,,
1265,4377690,,,,
1267,4323300,,,,
1269,4295780,,,,
1271,4303060,,,,
1273,4264290,,,,
1275,4179120,,,,
1277,4094800,,,,
1279,4104170,,,,
1281,3990070,,,,
1283,3807630,,,,
1285,3920530,,,,
1287,3931090,,,,
1289,3865140,,,,
1291,3725010,,,,
1293,3847080,,,,
1295,3701970,,,,
1297,3699430,,,,
1299,3635490,,,,
1301,3546640,,,,
1303,3397830,,,,
1305,3559210,,,,
1307,3561340,,,,
1309,3323170,,,,
1311,3460470,,,,
1313,3407680,,,,
1315,3260250,,,,
1317,3248020,,,,
1319,3224060,,,,
1321,3203290,,,,
1323,3107550,,,,
1325,3030550,,,,
1327,3130510,,,,
1329,3041160,,,,
1331,3021520,,,,
1333,3040180,,,,
1335,2878420,,,,
1337,2897230,,,,
1339,2863680,,,,
1341,2896790,,,,
1343,2805190,,,,
1345,2774590,,,,
1347,2712070,,,,
1349,2789920,,,,
1351,2695000,,,,
1353,2635790,,,,
1355,2626090,,,,
1357,2496240,,,,
1359,2447350,,,,
1361,2538100,,,,
1363,2476880,,,,
1365,2444350,,,,
1367,2433010,,,,
1369,2284360,,,,
1371,2413100,,,,
1373,2403600,,,,
1375,2331520,,,,
1377,2261370,,,,
1379,2196020,,,,
1381,2221150,,,,
1383,2098240,,,,
1385,2111280,,,,
1387,2134860,,,,
1389,2129060,,,,
1391,2079870,,,,
1393,1998950,,,,
1395,1994740,,,,
1397,2003470,,,,
1399,2038270,,,,
1401,1951800,,,,
1403,2005820,,,,
1405,1863520,,,,
1407,1874960,,,,
1409,1936740,,,,
1411,1876560,,,,
1413,1766570,,,,
1415,1789990,,,,
1417,1853360,,,,
1419,1772750,,,,
1421,1776590,,,,
1423,1702670,,,,
1425,1765360,,,,
1427,1722310,,,,
1429,1649160,,,,
1431,1638090,,,,
1433,1648690,,,,
1435,1561790,,,,
1437,1572180,,,,
1439,1561670,,,,
1441,1522030,,,,
1443,1513580,,,,
1445,1568120,,,,
1447,1463350,,,,
1449,1404200,,,,
1451,1465140,,,,
1453,1452820,,,,
1455,1408900,,,,
1457,1395570,,,,
1459,1411230,,,,
1461,1435350,,,,
1463,1315620,,,,
1465,1370270,,,,
1467,1360930,,,,
1469,1403940,,,,
1471,1281230,,,,
1473,1266990,,,,
1475,1260120,,,,
1477,1269470,,,,
1479,1188540,,,,
1481,1262120,,,,
1483,1255050,,,,
1485,1156750,,,,
1487,1213890,,,,
1489,1178880,,,,
1491,1135020,,,,
1493,1127770,,,,
1495,1158460,,,,
1497,1099340,,,,
1499,1102190,,,,
1501,1044230,,,,
1503,1078240,,,,
1505,1050980,,,,
1507,1014350,,,,
1509,1040070,,,,
1511,1030270,,,,
1513,1000700,,,,
1515,1047630,,,,
1517,975402,,,,
1519,970573,,,,
1521,949025,,,,
1523,894331,,,,
1525,924729,,,,
1527,876908,,,,
1529,878876,,,,
1531,919531,,,,
1533,909087,,,,
1535,928826,,,,
1537,804260,,,,
1539,837161,,,,
1541,828513,,,,
1543,816448,,,,
1545,845286,,,,
1547,796873,,,,
1549,768784,,,,
1551,795643,,,,
1553,796129,,,,
1555,788670,,,,
1557,780172,,,,
1559,765331,,,,
1561,681489,,,,
1563,766795,,,,
1565,686433,,,,
1567,728777,,,,
1569,673710,,,,
1571,714905,,,,
1573,750638,,,,
1575,694736,,,,
1577,671007,,,,
1579,709562,,,,
1581,679473,,,,
1583,654685,,,,
1585,669947,,,,
1587,635989,,,,
1589,652751,,,,
1591,660503,,,,
1593,613798,,,,
1595,636767,,,,
1597,601556,,,,
1599,601922,,,,
1601,614421,,,,
1603,589664,,,,
1605,577407,,,,
1607,580577,,,,
1609,588430,,,,
1611,539947,,,,
1613,521090,,,,
1615,528449,,,,
1617,505609,,,,
1619,493013,,,,
1621,501219,,,,
1623,526602,,,,
1625,502343,,,,
1627,554121,,,,
1629,494509,,,,
1631,478477,,,,
1633,481113,,,,
1635,452734,,,,
1637,472185,,,,
1639,431316,,,,
1641,477317,,,,
1643,443135,,,,
1645,443027,,,,
1647,459119,,,,
1649,440572,,,,
1651,445320,,,,
1653,398796,,,,
1655,431108,,,,
