"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
6.145E-06,333019,35945,333723,36048
6.155E-06,332732,35892,333419,35997
6.165E-06,332437,35849,333132,35949
6.175E-06,332115,35803,332813,35902
6.185E-06,331837,35758,332525,35855
6.195E-06,331564,35713,332249,35806
6.205E-06,331278,35668,331974,35767
6.215E-06,330993,35618,331665,35717
6.225E-06,330738,35565,331414,35666
6.235E-06,330461,35518,331116,35618
6.245E-06,330195,35477,330847,35577
6.255E-06,329909,35422,330574,35527
6.265E-06,329608,35371,330278,35482
6.275E-06,329331,35318,330007,35425
6.285E-06,329050,35279,329760,35384
6.295E-06,328759,35251,329487,35347
6.305E-06,328473,35208,329200,35309
6.315E-06,328193,35157,328930,35266
6.325E-06,327937,35117,328673,35221
6.335E-06,327673,35067,328399,35176
6.345E-06,327390,35025,328117,35139
6.355E-06,327123,34971,327826,35082
6.365E-06,326851,34933,327542,35037
6.375E-06,326583,34898,327279,35005
6.385E-06,326300,34851,327008,34966
6.395E-06,326013,34802,326726,34920
6.405E-06,325758,34759,326451,34882
6.415E-06,325496,34714,326194,34847
6.425E-06,325218,34669,325910,34793
6.435E-06,324943,34621,325623,34753
6.445E-06,324685,34597,325352,34714
6.455E-06,324396,34557,325055,34673
6.465E-06,324118,34512,324801,34631
6.475E-06,323840,34463,324525,34586
6.485E-06,323567,34415,324257,34532
6.495E-06,323319,34360,324001,34477
6.505E-06,323093,34313,323738,34428
6.515E-06,322835,34259,323478,34370
6.525E-06,322551,34224,323221,34330
6.535E-06,322265,34180,322938,34280
6.545E-06,321976,34130,322662,34234
6.555E-06,321681,34088,322384,34173
6.565E-06,321453,34045,322128,34130
6.575E-06,321188,34003,321847,34087
6.585E-06,320929,33954,321576,34045
6.595E-06,320658,33911,321305,33998
6.605E-06,320401,33858,321044,33956
6.615E-06,320129,33817,320776,33915
6.625E-06,319867,33778,320501,33870
6.635E-06,319615,33733,320259,33834
6.645E-06,319370,33693,320023,33799
6.655E-06,319090,33652,319763,33747
6.665E-06,318832,33610,319511,33712
6.675E-06,318555,33556,319237,33664
6.685E-06,318291,33514,318975,33620
6.695E-06,318051,33473,318742,33582
6.705E-06,317766,33424,318469,33537
6.715E-06,317500,33369,318206,33489
6.725E-06,317264,33324,317957,33444
6.735E-06,316986,33276,317706,33400
6.745E-06,316715,33237,317444,33364
6.755E-06,316448,33200,317158,33324
6.765E-06,316160,33162,316886,33280
6.775E-06,315887,33123,316621,33249
6.785E-06,315657,33089,316380,33218
6.795E-06,315409,33041,316163,33176
6.805E-06,315139,33001,315887,33124
6.815E-06,314880,32959,315623,33088
6.825E-06,314629,32920,315381,33037
6.835E-06,314373,32880,315129,32992
6.845E-06,314102,32838,314858,32939
6.855E-06,313846,32806,314606,32900
6.865E-06,313616,32761,314350,32865
6.875E-06,313349,32723,314088,32827
6.885E-06,313090,32687,313824,32788
6.895E-06,312860,32647,313603,32747
6.905E-06,312587,32608,313337,32702
6.915E-06,312343,32571,313087,32658
6.925E-06,312072,32529,312822,32621
6.935E-06,311838,32483,312596,32586
6.945E-06,311577,32441,312346,32553
6.955E-06,311332,32402,312079,32503
6.965E-06,311067,32353,311837,32450
6.975E-06,310813,32309,311573,32414
6.985E-06,310553,32272,311292,32374
6.995E-06,310320,32238,311048,32339
7.005E-06,310072,32191,310806,32296
7.015E-06,309831,32143,310560,32257
7.025E-06,309610,32107,310310,32223
7.035E-06,309340,32064,310048,32172
7.045E-06,309099,32028,309801,32134
7.055E-06,308852,31984,309527,32090
7.065E-06,308609,31948,309282,32049
7.075E-06,308351,31903,309033,32009
7.085E-06,308088,31865,308755,31969
7.095E-06,307837,31834,308517,31934
7.105E-06,307556,31794,308238,31898
7.115E-06,307316,31759,307971,31859
7.125E-06,307060,31726,307714,31825
7.135E-06,306811,31680,307479,31783
