181 33 KTC
     0.1      0.15      0.2       0.3	    0.4	      0.5	0.7	  1         1.5       2         3         4         5         7	        10	  15        20	      30        40        50        70	      100       150       200       300       400       500	  700       1000      2000      5000      10000		   10e6		   
 86 16.4      7.27      5.71      7.23      11.2      13.1      14.8      14.6      12.2      9.81      6.13      3.89      9.36      5.32      3.41      1.28      0.604     0.222     0.184     0.221     0.293     0.267     0.0802    0.00205   0.114     0.19      0.181     0.0983    0.025     0.0118    0.00788   0.00257   	   0.00257   	   
 87 16.4      7.25      6.17      7.45      11.1      12.6      13.9      13.6      11.3      9.06      5.64      3.57      9.55      5.33      3.36      1.32      0.627     0.241     0.21      0.249     0.312     0.269     0.0735    0.00139   0.123     0.197     0.182     0.0933    0.0214    0.0123    0.0076    0.00247   	   0.00247   	   
 88 16.4      7.22      6.68      7.75      11.1      12.2      13        12.6      10.4      8.35      5.17      3.27      9.72      5.33      3.3       1.35      0.648     0.263     0.237     0.278     0.332     0.271     0.0673    0.00141   0.132     0.201     0.182     0.0877    0.0178    0.0128    0.00736   0.00242   	   0.00242   	   
 89 16.3      7.21      7.25      8.14      11.2      11.8      12.2      11.7      9.63      7.67      4.73      2.98      9.86      5.32      3.23      1.38      0.669     0.287     0.267     0.308     0.351     0.272     0.0615    0.002     0.139     0.205     0.179     0.0815    0.0145    0.0134    0.00712   0.00237   	   0.00237   	   
 90 16.3      7.19      7.85      8.61      11.4      11.6      11.6      10.8      8.86      7.03      4.3       2.7       9.96      5.29      3.15      1.41      0.689     0.312     0.298     0.338     0.369     0.273     0.056     0.00301   0.146     0.206     0.175     0.0747    0.0113    0.014     0.00686   0.00229   	   0.00229   	   
 91 16.3      7.17      8.51      9.17      11.7      11.6      11        10        8.13      6.42      3.9       2.44      10        5.25      3.06      1.43      0.707     0.338     0.33      0.369     0.387     0.273     0.0508    0.00437   0.151     0.205     0.17      0.0677    0.00843   0.0147    0.00666   0.00228   	   0.00228   	   
 92 16.3      7.15      9.21      9.81      12.1      11.6      10.5      9.32      7.45      5.84      3.52      2.19      10.1      5.2       2.96      1.44      0.724     0.365     0.362     0.4       0.405     0.272     0.0461    0.00591   0.154     0.202     0.163     0.0604    0.00586   0.0154    0.00642   0.0022    	   0.0022    	   
 93 16.3      7.14      9.96      10.5      12.6      11.7      10.1      8.68      6.81      5.3       3.15      1.95      10        5.13      2.86      1.45      0.738     0.392     0.395     0.431     0.421     0.27      0.0415    0.00761   0.157     0.198     0.155     0.0532    0.00377   0.0161    0.00622   0.0022    	   0.0022    	   
 94 16.3      7.12      10.8      11.3      13.3      11.9      9.8       8.11      6.23      4.8       2.81      1.73      10        5.04      2.75      1.45      0.75      0.419     0.427     0.461     0.436     0.268     0.0373    0.0093    0.157     0.192     0.145     0.0459    0.00208   0.0169    0.00599   0.00213   	   0.00213   	   
 95 16.3      7.1       11.6      12.2      14        12.2      9.59      7.6       5.68      4.32      2.49      1.52      9.92      4.94      2.63      1.45      0.76      0.445     0.459     0.49      0.45      0.265     0.0333    0.011     0.157     0.185     0.135     0.0389    0.000936  0.0176    0.00578   0.00213   	   0.00213   	   
 96 16.3      7.09      12.5      13.2      14.8      12.7      9.48      7.16      5.19      3.88      2.2       1.33      9.8       4.83      2.5       1.44      0.766     0.47      0.49      0.518     0.462     0.261     0.0296    0.0126    0.155     0.176     0.124     0.0323    0.000309  0.0184    0.00557   0.00209   	   0.00209   	   
 97 16.3      7.07      13.4      14.3      15.8      13.2      9.45      6.8       4.74      3.48      1.92      1.15      9.64      4.7       2.38      1.42      0.768     0.494     0.52      0.545     0.473     0.256     0.0262    0.014     0.151     0.166     0.113     0.0262    0.000248  0.0191    0.00537   0.00207   	   0.00207   	   
