
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
 578.5         3251   2161         1800           3144
 579.5         3279   1660         1810           2603
 580.5         3241   1910         1590           3022
 581.5         3169   1670         1560           2086
 582.5         3058   1350         1546           2473
 583.5         3185   1770         1525           2366
 584.5         2968   1450         1564           2301
 585.5         3008   1760         1540           2940
 586.5         2985   1560         1400           2028
 587.5         2916   1650         1431           3613
 588.5         2937   1680         1410           2185
 589.5         2864   1390         1250           2196
 590.5         2827   1450         1410           2553
 591.5         2944   1440         1100           2062
 592.5         2779   1550         1220           1759
 593.5         2893   1450         1310           2275
 594.5         2570   1130         1460           2536
 595.5         2585   1250         1130           1940
 596.5         2646   1200         1270           1996
 597.5         2508   1350         1235           1939
 598.5         2489   1160         1300           2168
 599.5         2480   1180         1186           1689
 600.5         2371   1370         1050           2005
 601.5         2400   1340         1040           2193
 602.5         2369   1190         1160           2530
 603.5         2303   1100          974           2414
 604.5         2213   1150          890           1526
 605.5         2252   1010         1000           1664
 606.5         2021   1200          910           1307
 607.5         2261   1110          750           1893
 608.5         1984    730          792           1501
 609.5         1970    840          740           1620
 610.5         2004   1040          780           1171
 611.5         2037    720          960           1144
 612.5         1986    790          881           1764
 613.5         1940    740          771           1594
 614.5         1765    670          580           1750
 615.5         1872    780          870           1423
 616.5         1742    710          690           1294
 617.5         1660    720          670           1121
 618.5         1599    620          610           1500
 619.5         1785    530          640           1522
 620.5         1683    480          693            887
 621.5         1586    530          571           1257
 622.5         1591    550          530           1030
 623.5         1561    650          580           1520
 624.5         1510    550          490            920
 625.5         1505    420          520           1072
 626.5         1419    550          530            353
 627.5         1423    470          550           1154
 628.5         1343    460          560            666
 629.5         1390    430          580            964
 630.5         1279    390          410           1433
 631.5         1411    510          360            830
 632.5         1205    310          413            642
 633.5         1271    410          420            981
 634.5         1167    380          460            617
 635.5         1151    370          260            900
 636.5         1160    340          430            853
 637.5         1174    261          320            576
 638.5         1054    190          260            692
 639.5         1052    260          260            689
 640.5          922    340          323            980
 641.5         1044    260          320            648
 642.5          932    200          190            294
 643.5          829    150          240            625
 644.5          960    190          260            567
 645.5          873    210          161            527
 646.5          845    200          111            537
 647.5          778    270          293            105
 648.5          911    130          190            495
 649.5          812    170          260            677
 650.5          781    110          210             71
 651.5          655    140          150            383
 652.5          668    110          150            442
 653.5          780    140          220            386
 654.5          742    110           80            549
 655.5          608     90           80            550
 656.5          661    100          140            394
 657.5          591    110          120            621
 658.5          661     70          130            417
 659.5          617     50          120            300
 660.5          603     70          102            511
 661.5          609     40           70            127
 662.5          501     30           40            308
 663.5          471     50          120            118
 664.5          473     70          110            160
 665.5          471     40           10            432
 666.5          418     40           30            397
 667.5          367     40          100            391
 668.5          417     30           40            218
 669.5          430     30           40            307
 670.5          360     30           50            390
 671.5          401     20           40            323
 672.5          370     20           40            218
 673.5          316     30           30            201
 674.5          330     10           70            111
 675.5          302     10           40            150
 676.5          289     10            0             31
 677.5          274     20           40            140
 678.5          274     10           10             20
 679.5          267     10           20             21
 680.5          170     20           10             20
 681.5          260      0            0            110
 682.5          224      0           30            105
 683.5          229      0           10            116
 684.5          204      0            0            388
 685.5          189      0            0            101
 686.5          155      0            0            190
 687.5          120     10            0              0
 688.5          191      0            0             90
 689.5          169      0            0              1
 690.5          128      0            0              0
 691.5          107      0            0             20
 692.5          137      0            0             10
 693.5           77      0            0            100
 694.5           95      0            0              0
 695.5          106      0            0             10
 696.5           56      0            0             10
 697.5           76      0            0             10
 698.5           78      0            0              0
 699.5           51      0            0              0
 700.5           42      0            0            129
 701.5           53      0            0              0
 702.5           64      0            0              0
 703.5           25      0            0              0
 704.5           42      0            0              0
 705.5           27      0            0              0
 706.5           50      0            0              0
 707.5           27      0            0              0
 708.5           25      0            0              0
 709.5           29      0            0              0
 710.5           22      0            0              0
 711.5           32      0            0              0
 712.5            0      0            0              0
 713.5            0      0            0              0
 714.5            0      0            0              0
